cwes,count
NVD-CWE-Other,29287
NVD-CWE-noinfo,29345
CWE-79,25313
,18290
CWE-119,11350
CWE-89,10362
CWE-787,10748
CWE-20,8911
CWE-200,6624
CWE-22,5647
CWE-125,5828
CWE-264,5203
CWE-352,4722
CWE-416,4555
CWE-78,3207
CWE-94,3123
CWE-476,3115
CWE-287,3030
CWE-399,2541
CWE-862,2539
CWE-310,2439
CWE-120,2065
CWE-190,2278
CWE-434,1945
CWE-77,1467
CWE-269,1290
CWE-362,1551
CWE-863,1282
CWE-189,1218
CWE-798,1142
CWE-400,1128
CWE-732,1148
CWE-502,1068
CWE-59,1034
CWE-306,1000
CWE-295,933
CWE-284,976
CWE-611,934
CWE-918,935
CWE-522,951
CWE-276,849
CWE-401,840
CWE-601,805
CWE-74,812
CWE-770,712
CWE-255,723
CWE-532,658
CWE-427,639
CWE-668,561
CWE-835,561
CWE-319,573
CWE-203,517
CWE-639,504
CWE-312,503
CWE-415,513
CWE-426,449
CWE-755,434
CWE-327,415
CWE-772,393
CWE-908,432
CWE-617,394
CWE-843,408
CWE-254,408
CWE-667,376
CWE-347,342
CWE-326,334
CWE-209,311
CWE-129,331
CWE-345,304
CWE-134,294
CWE-307,291
CWE-369,283
CWE-1321,281
CWE-754,281
CWE-330,272
CWE-367,284
CWE-665,264
CWE-384,259
CWE-1021,257
CWE-613,241
CWE-311,257
CWE-16,257
CWE-346,241
CWE-674,224
CWE-19,222
CWE-552,221
CWE-704,212
CWE-404,209
CWE-1333,202
CWE-88,190
CWE-290,189
CWE-191,211
CWE-281,178
CWE-116,194
CWE-1236,166
CWE-17,165
CWE-428,157
CWE-917,158
CWE-824,160
CWE-444,158
CWE-610,149
CWE-521,154
CWE-425,145
CWE-1188,151
CWE-640,139
CWE-922,137
CWE-294,123
CWE-459,119
CWE-1284,110
CWE-697,104
CWE-829,105
CWE-193,113
CWE-354,96
CWE-494,90
CWE-252,93
CWE-338,81
CWE-834,85
CWE-909,85
CWE-131,89
CWE-91,74
CWE-682,80
CWE-916,70
CWE-331,65
CWE-285,64
CWE-212,59
CWE-275,61
CWE-670,63
CWE-763,60
CWE-681,75
CWE-776,53
CWE-436,47
CWE-706,52
CWE-122,45
CWE-662,50
CWE-565,41
CWE-669,42
CWE-913,39
CWE-672,37
CWE-388,35
CWE-693,32
CWE-121,37
CWE-93,33
CWE-320,33
CWE-178,35
CWE-470,24
CWE-273,23
CWE-335,24
CWE-358,21
CWE-113,20
CWE-924,17
CWE-417,15
CWE-407,17
CWE-118,13
CWE-90,14
CWE-98,11
CWE-185,12
CWE-80,15
CWE-123,10
CWE-538,9
CWE-288,12
CWE-15,10
CWE-497,11
CWE-359,12
CWE-332,8
CWE-172,8
CWE-126,9
CWE-361,7
CWE-749,8
CWE-199,6
CWE-18,6
CWE-23,10
CWE-297,7
CWE-29,6
CWE-823,6
CWE-201,7
CWE-788,5
CWE-838,7
CWE-95,6
CWE-266,6
CWE-441,5
CWE-73,6
CWE-379,4
CWE-489,4
CWE-620,4
CWE-321,5
CWE-250,5
CWE-36,7
CWE-99,4
CWE-256,5
CWE-300,3
CWE-1187,3
CWE-184,6
CWE-920,3
CWE-353,3
CWE-1336,3
CWE-943,3
CWE-204,3
CWE-471,3
CWE-21,3
CWE-614,3
CWE-707,5
CWE-402,2
CWE-1391,2
CWE-1263,2
CWE-248,2
CWE-923,3
CWE-274,2
CWE-114,2
CWE-61,2
CWE-1392,2
CWE-1286,2
CWE-525,2
CWE-1,2
CWE-664,2
CWE-280,3
CWE-912,2
CWE-534,2
CWE-769,2
CWE-642,2
CWE-317,2
CWE-540,2
CWE-117,3
CWE-1323,2
CWE-259,2
CWE-548,2
CWE-440,1
CWE-644,2
CWE-1076,1
CWE-64,1
CWE-501,1
CWE-457,1
CWE-406,1
CWE-703,1
CWE-282,3
CWE-527,1
CWE-391,1
CWE-24,1
CWE-648,1
CWE-155,1
CWE-549,1
CWE-833,1
CWE-35,2
CWE-289,1
CWE-340,1
CWE-911,1
CWE-304,1
CWE-530,1
CWE-822,3
CWE-789,1
CWE-219,1
CWE-302,2
CWE-566,1
CWE-351,1
CWE-807,2
CWE-85,1
CWE-840,1
CWE-208,1
CWE-942,1
CWE-650,1
CWE-213,1
CWE-202,2
CWE-233,1
CWE-150,1
CWE-1287,1
CWE-455,1
CWE-451,1
CWE-291,1
CWE-759,2
CWE-308,1
CWE-87,1
CWE-826,1
CWE-780,1
CWE-197,1
CWE-602,1
CWE-799,2
CWE-257,1
CWE-1220,1
CWE-334,1
CWE-286,1
CWE-413,1
CWE-242,1
CWE-1230,1
CWE-420,1
CWE-774,1
CWE-460,1
CWE-405,1
CWE-775,1
CWE-195,1
CWE-349,1
CWE-371,1
CWE-216,1
CWE-805,1
CWE-921,1
CWE-328,3
CWE-81,1
CWE-526,1
CWE-435,2
CWE-1108,1
CWE-544,1
CWE-296,1
CWE-344,1
CWE-1281,1
CWE-378,2
CWE-277,1
CWE-83,1
CWE-616,1
CWE-692,1
CWE-915,1
