cwes,count
CWE-20,110
CWE-119,77
CWE-416,79
CWE-78,85
CWE-787,87
CWE-22,60
CWE-94,48
CWE-502,49
CWE-264,31
CWE-843,32
CWE-284,26
CWE-287,26
CWE-306,25
CWE-89,22
CWE-200,21
CWE-79,24
CWE-77,20
CWE-122,29
CWE-399,16
CWE-269,14
CWE-863,13
CWE-434,13
CWE-59,13
CWE-74,10
CWE-288,9
CWE-120,9
CWE-918,10
CWE-190,12
CWE-125,11
CWE-693,6
CWE-404,6
CWE-362,10
CWE-189,6
CWE-23,6
CWE-121,6
CWE-36,5
CWE-798,5
CWE-611,5
CWE-862,5
CWE-917,5
CWE-367,4
CWE-295,4
CWE-276,4
CWE-822,4
CWE-326,4
CWE-352,3
CWE-400,4
CWE-754,3
CWE-522,3
CWE-506,3
CWE-285,3
CWE-95,4
CWE-415,3
CWE-1188,4
CWE-347,3
CWE-134,3
CWE-290,3
CWE-444,3
CWE-473,2
CWE-749,2
CWE-1173,2
CWE-427,2
CWE-732,2
CWE-610,2
CWE-255,2
CWE-591,2
CWE-19,2
CWE-1386,3
CWE-425,2
CWE-552,2
CWE-532,2
CWE-665,2
CWE-451,2
CWE-707,2
CWE-73,3
CWE-184,3
CWE-1390,2
CWE-1336,2
CWE-908,2
CWE-704,2
CWE-785,1
CWE-158,2
CWE-782,1
CWE-601,1
CWE-388,1
CWE-706,1
CWE-1220,1
CWE-497,1
CWE-521,1
CWE-390,1
CWE-91,1
CWE-39,1
CWE-330,1
CWE-131,1
CWE-254,1
CWE-357,1
CWE-494,1
CWE-250,2
CWE-668,1
CWE-420,1
CWE-823,2
CWE-303,2
CWE-280,1
CWE-835,1
CWE-783,1
CWE-80,3
CWE-203,1
CWE-1287,1
CWE-1393,1
CWE-305,1
CWE-27,1
CWE-358,1
CWE-191,2
CWE-772,1
CWE-209,1
CWE-114,1
CWE-88,2
CWE-647,1
CWE-123,1
CWE-653,1
CWE-703,1
CWE-351,1
CWE-923,1
CWE-281,1
CWE-426,1
CWE-93,1
CWE-824,1
CWE-940,1
CWE-310,1
CWE-274,1
CWE-664,1
CWE-755,3
CWE-197,1
CWE-441,1
CWE-294,1
CWE-401,1
CWE-912,1
CWE-55,1
CWE-138,7
CWE-116,2
CWE-193,1
CWE-40,1
CWE-406,1
CWE-470,1
CWE-697,1
CWE-1285,2
CWE-178,1
CWE-667,1
CWE-25,1
CWE-96,1
CWE-273,1
CWE-353,1
CWE-641,1
CWE-790,1
CWE-259,1
